tcu_lengths,tcu_words,tcu_syllables
1072.0,2,2
4821.0,12,14
930.0,2,2
2211.0,5,9
720.0,1,1
2520.0,11,13
383.0,1,1
2470.0,12,14
1290.0,5,8
2636.0,9,9
590.0,1,1
1565.0,4,7
476.0,2,2
4245.0,8,9
8427.0,13,16
1829.0,5,5
350.0,1,1
960.0,4,4
2810.0,10,11
2890.0,8,12
142.0,1,1
3883.0,10,11
6123.0,18,27
2774.0,7,8
2106.0,8,11
284.0,2,2
335.0,1,1
298.0,1,1
5358.0,23,30
3868.0,9,13
618.0,3,3
2800.0,9,17
3288.0,10,15
12084.0,29,39
3392.0,9,11
11957.0,49,66
5750.0,23,32
260.0,1,1
1450.0,5,10
331.0,2,2
5430.0,12,14
2994.0,13,19
4777.0,15,24
11415.0,28,44
1528.0,8,9
11730.0,33,41
246.0,1,1
9807.0,33,45
5785.0,21,27
1010.0,5,9
225.0,1,1
7031.0,21,30
7297.0,18,26
218.0,1,1
9190.0,27,34
1013.0,3,6
241.0,1,1
2442.0,10,11
2590.0,14,20
2767.0,11,17
194.0,1,1
7072.0,27,45
1873.0,7,8
2320.0,6,9
4929.0,13,24
233.0,1,1
4051.0,16,26
1827.0,9,11
240.0,1,1
1751.0,9,11
4010.0,9,13
1344.0,9,12
2817.0,10,15
270.0,1,1
1819.0,6,11
1915.0,6,13
2724.0,6,13
1649.0,9,9
1390.0,8,9
140.0,1,1
1171.0,5,8
3427.0,17,24
1932.0,10,13
11720.0,28,40
5761.0,17,26
1699.0,7,8
900.0,6,7
4131.0,15,25
6630.0,18,23
255.0,1,1
4952.0,12,15
8654.0,33,42
8833.0,28,33
1815.0,9,10
6212.0,23,32
216.0,1,1
719.0,2,4
649.0,3,3
2340.0,6,6
1543.0,7,8
230.0,2,2
2601.0,10,12
3856.0,6,7
40502.0,4,4
1209.0,5,6
680.0,2,2
1030.0,2,3
1260.0,2,5
570.0,1,1
1490.0,4,4
1276.0,4,5
522.0,1,1
4041.0,16,18
3420.0,12,13
520.0,2,2
1346.0,5,9
1402.0,4,4
5446.0,20,26
4620.0,10,12
7967.0,19,21
1357.0,6,7
633.0,2,2
318.0,2,2
4306.0,10,11
2296.0,3,4
570.0,2,2
3210.0,11,13
4022.0,16,24
375.0,2,2
1510.0,7,7
723.0,1,1
480.0,1,1
1404.0,3,3
1792.0,8,10
300.0,2,2
3721.0,11,15
500.0,2,2
3482.0,14,17
4690.0,12,21
