turn_lengths,turn_words,turn_syllables,tcus_per_turn
4339.0,2,2,1
6409.0,39,54,4
1277.0,2,2,1
482.0,5,6,1
2727.0,6,8,3
3403.0,2,2,1
286.0,13,17,1
590.0,2,2,1
692.0,1,3,1
290.0,1,4,1
5565.0,2,2,1
483.0,60,77,2
4346.0,4,4,2
281.0,16,21,1
2567.0,1,1,1
269.0,8,8,1
2436.0,2,2,1
2048.0,13,20,2
2878.0,11,15,2
327.0,1,4,1
391.0,2,2,1
1422.0,2,2,1
24333.0,8,15,1
310.0,43,63,1
23227.0,64,92,4
6499.0,17,17,3
13983.0,1,1,1
4399.0,40,60,2
5267.0,11,16,2
13615.0,39,53,3
24758.0,79,99,9
15256.0,34,41,3
6998.0,1,1,1
622.0,17,21,1
15185.0,1,1,1
380.0,26,39,1
22327.0,60,85,7
5775.0,16,20,2
24690.0,56,84,4
13570.0,25,32,3
11099.0,2,2,1
545.0,23,33,1
3850.0,1,1,1
4799.0,19,25,2
44956.0,91,120,11
618.0,18,22,1
20984.0,1,1,1
664.0,45,63,1
5868.0,2,2,1
21255.0,69,81,3
3978.0,13,17,3
3602.0,5,5,2
15977.0,43,61,3
516.0,11,16,1
850.0,2,2,1
21066.0,37,55,4
2681.0,10,14,4
19115.0,54,60,6
4205.0,9,11,3
13833.0,8,10,2
3588.0,8,8,1
8288.0,31,36,3
12236.0,27,31,4
689.0,13,16,1
3550.0,1,1,1
493.0,12,17,1
1910.0,2,2,1
5406.0,22,25,2
2990.0,1,1,1
1151.0,14,19,1
36177.0,7,10,2
6715.0,4,6,1
25486.0,90,117,6
2830.0,2,2,1
7363.0,33,40,4
4070.0,2,2,1
7166.0,32,36,3
665.0,1,1,1
2241.0,1,1,1
6951.0,25,26,3
8610.0,29,41,4
2120.0,4,4,1
11035.0,26,29,3
256.0,11,14,1
1430.0,3,3,1
577.0,7,10,1
1940.0,1,1,1
807.0,9,10,1
1360.0,4,4,1
2292.0,5,5,1
7297.0,7,8,1
720.0,24,28,1
1270.0,1,1,1
360.0,6,7,1
1930.0,2,2,1
9324.0,31,40,5
1070.0,2,2,1
948.0,7,8,2
1642.0,1,1,1
775.0,6,8,1
18769.0,54,63,6
9761.0,2,2,1
420.0,20,30,1
4860.0,17,18,3
1970.0,1,1,1
1848.0,8,11,1
2272.0,3,3,1
7088.0,31,38,5
1396.0,2,2,1
734.0,9,9,1
960.0,1,1,1
12613.0,43,50,4
2510.0,1,1,1
1174.0,10,14,2
930.0,1,1,1
2739.0,3,6,1
330.0,8,11,1
740.0,2,2,1
3556.0,4,4,2
13947.0,5,7,1
7195.0,3,3,1
7983.0,42,49,2
1180.0,12,20,1
647.0,6,7,1
1510.0,1,1,1
475.0,8,9,1
2195.0,2,2,1
380.0,12,12,1
2489.0,2,2,1
700.0,13,17,1
6466.0,2,2,1
6942.0,47,59,5
4606.0,3,3,2
4673.0,35,46,2
47398.0,65,80,9
120.0,31,49,1
1911.0,6,6,2
960.0,4,4,1
2340.0,2,6,1
180.0,10,14,1
3777.0,1,1,1
2762.0,18,27,2
8092.0,1,1,1
320.0,25,32,1
2730.0,1,1,1
550.0,11,14,1
1930.0,1,1,1
2612.0,21,30,3
14098.0,45,59,5
2543.0,14,20,2
5610.0,5,5,4
2238.0,16,23,2
27584.0,80,100,9
1170.0,13,16,1
16902.0,42,60,3
580.0,10,15,1
5438.0,1,1,1
6980.0,35,48,3
1033.0,4,4,2
1170.0,3,3,1
5000.0,4,7,1
8241.0,62,79,3
9641.0,8,12,6
7973.0,34,39,5
75988.0,196,250,18
380.0,14,24,1
